customer_name,phone,address1,address2,city,state,postal_code,country,contact_last_name,contact_first_name,deal_size
Land of Toys Inc.,(212) 555-7818,897 Long Airport Avenue,,NYC,NY,10022,USA,Yu,Kwai,Small
Reims Collectables,,59 rue de l'Abbaye,,Reims,,51100,France,Henriot,Paul,Small
Lyon Souveniers,,27 rue du Colonel Pierre Avia,,Paris,,75508,France,Da Cunha,Daniel,Medium
Toys4GrownUps.com,(626) 555-7265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,Young,Julie,Medium
Corporate Gift Ideas Co.,(650) 555-1386,7734 Strong St.,,San Francisco,CA,,USA,Brown,Julie,Medium
Technics Stores Inc.,(650) 555-6809,9408 Furth Circle,,Burlingame,CA,94217,USA,Hirano,Juri,Medium
Daedalus Designs Imports,,"184, chausse de Tournai",,Lille,,59000,France,Rance,Martine,Small
Herkku Gifts,,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,Oeztan,Veysel,Medium
Mini Wheels Co.,(650) 555-5787,5557 North Pendale Street,,San Francisco,CA,,USA,Murphy,Julie,Small
Auto Canal Petit,,"25, rue Lauriston",,Paris,,75016,France,Perrier,Dominique,Medium
"Australian Collectors, Co.",(039) 520-4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,Ferguson,Peter,Medium
Vitachrome Inc.,(212) 555-1500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,Frick,Michael,Small
Tekni Collectables Inc.,(201) 555-9350,7476 Moss Rd.,,Newark,NJ,94019,USA,Brown,William,Medium
Gift Depot Inc.,(203) 555-2570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,King,Julie,Medium
La Rochelle Gifts,,"67, rue des Cinquante Otages",,Nantes,,44000,France,Labrune,Janine,Medium
Marta's Replicas Co.,(617) 555-8555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,Hernandez,Marta,Medium
"Toys of Finland, Co.",,Keskuskatu 45,,Helsinki,,21240,Finland,Karttunen,Matti,Small
Baane Mini Imports,,Erling Skakkes gate 78,,Stavern,,4110,Norway,Bergulfsen,Jonas,Medium
Diecast Classics Inc.,(215) 555-1555,7586 Pompton St.,,Allentown,PA,70267,USA,Yu,Kyung,Medium
Land of Toys Inc.,(212) 555-7818,897 Long Airport Avenue,,NYC,NY,10022,USA,Yu,Kwai,Medium
Salzburg Collectables,,Geislweg 14,,Salzburg,,5020,Austria,Pipps,Georg,Large
Souveniers And Things Co.,,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,Huxley,Adrian,Small
La Rochelle Gifts,,"67, rue des Cinquante Otages",,Nantes,,44000,France,Labrune,Janine,Small
FunGiftIdeas.com,(508) 555-2555,1785 First Street,,New Bedford,MA,50553,USA,Benitez,Violeta,Medium
"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12 Brewery,,Liverpool,,WX1 6LT,UK,Devon,Elizabeth,Small
Euro Shopping Channel,,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,Freyre,Diego,Large
"Volvo Model Replicas, Co",(092) 112-3555,BerguvsvÑgen 8,,Lule,,S-958 22,Sweden,Berglund,Christina,Large
"Corrida Auto Replicas, Ltd",,"C/ Araquil, 67",,Madrid,,28023,Spain,Sommer,Mart°n,Large
Technics Stores Inc.,(650) 555-6809,9408 Furth Circle,,Burlingame,CA,94217,USA,Hirano,Juri,Large
"Dragon Souveniers, Ltd.",,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Natividad,Eric,Large
Classic Legends Inc.,(212) 555-8493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,Hernandez,Maria,Medium
"Australian Gift Network, Co",,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,Calaghan,Tony,Large
"Classic Gift Ideas, Inc",(215) 555-4695,782 First Street,,Philadelphia,PA,71270,USA,Cervantes,Francisca,Medium
"Saveley & Henriot, Co.",,"2, rue du Commerce",,Lyon,,69004,France,Saveley,Mary,Large
Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,Tannamuri,Yoshi,Large
West Coast Collectables Co.,(310) 555-3722,3675 Furth Circle,,Burbank,CA,94019,USA,Thompson,Steve,Medium
Cambridge Collectables Co.,(617) 555-5555,4658 Baden Av.,,Cambridge,MA,51247,USA,Tseng,Kyung,Medium
Super Scale Inc.,(203) 555-9545,567 North Pendale Street,,New Haven,CT,97823,USA,Murphy,Leslie,Medium
"Tokyo Collectables, Ltd",,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Shimamura,Akiko,Large
Souveniers And Things Co.,,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,Huxley,Adrian,Medium
Amica Models & Co.,(011) 498-8555,Via Monte Bianco 34,,Torino,,10100,Italy,Accorti,Paolo,Large
Scandinavian Gift Ideas,(069) 534-6555,?kergatan 24,,Boras,,S-844 67,Sweden,Larsson,Maria,Large
Auto Assoc. & Cie.,,"67, avenue de l'Europe",,Versailles,,78000,France,Tonini,Daniel,Large
Mini Gifts Distributors Ltd.,(415) 555-1450,5677 Strong St.,,San Rafael,CA,97562,USA,Nelson,Valarie,Large
Online Diecast Creations Co.,(603) 555-8647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,Young,Valarie,Medium
Mini Wheels Co.,(650) 555-5787,5557 North Pendale Street,,San Francisco,CA,,USA,Murphy,Julie,Medium
Mini Gifts Distributors Ltd.,(415) 555-1450,5677 Strong St.,,San Rafael,CA,97562,USA,Nelson,Valarie,Medium
